date,matchday,home_team,away_team,home_score_full_time,away_score_full_time,home_score_half_time,away_score_half_time,goal_diff,winner,defeat,ref
2023-12-22T19:45:00Z,17,salernitana,milan,2,2,1,1,0,draw,draw,daniele doveri
2023-12-23T11:30:00Z,17,frosinone,juventus,1,2,0,1,1,juventus,frosinone,maurizio mariani
2023-12-23T14:00:00Z,17,torino,udinese,1,1,0,0,0,draw,draw,michael fabbri
2023-12-23T14:00:00Z,17,bologna,atalanta,1,0,0,0,1,bologna,atalanta,antonio rapuano
2023-12-23T17:00:00Z,17,verona,cagliari,2,0,0,0,2,verona,cagliari,daniele orsato
2023-12-23T17:00:00Z,17,inter,lecce,2,0,1,0,2,inter,lecce,matteo marcenaro
2023-12-23T19:45:00Z,17,roma,napoli,2,0,0,0,2,roma,napoli,andrea colombo
2023-12-29T17:30:00Z,18,fiorentina,torino,1,0,0,0,1,fiorentina,torino,federico la penna
2023-12-29T17:30:00Z,18,napoli,monza,0,0,0,0,0,draw,draw,marco di bello
2023-12-29T19:45:00Z,18,genoa,inter,1,1,1,1,0,draw,draw,daniele doveri
2023-12-29T19:45:00Z,18,lazio,frosinone,3,1,0,0,2,lazio,frosinone,ermanno feliciani
2023-12-30T11:30:00Z,18,atalanta,lecce,1,0,0,0,1,atalanta,lecce,gianluca manganiello
2023-12-30T14:00:00Z,18,cagliari,empoli,0,0,0,0,0,draw,draw,fabio maresca
2023-12-30T14:00:00Z,18,udinese,bologna,3,0,1,0,3,udinese,bologna,daniele orsato
2023-12-30T17:00:00Z,18,verona,salernitana,0,1,0,0,1,salernitana,verona,maurizio mariani
2023-12-30T17:00:00Z,18,milan,sassuolo,1,0,0,0,1,milan,sassuolo,livio marinelli
2023-12-30T19:45:00Z,18,juventus,roma,1,0,0,0,1,juventus,roma,simone sozza
2024-01-05T19:45:00Z,19,bologna,genoa,1,1,0,1,0,draw,draw,andrea colombo
2024-01-06T11:30:00Z,19,inter,verona,2,1,1,0,1,inter,verona,marco piccinini
2024-01-06T14:00:00Z,19,frosinone,monza,2,3,0,2,1,monza,frosinone,maria caputi
2024-01-06T17:00:00Z,19,lecce,cagliari,1,1,1,0,0,draw,draw,davide massa
2024-01-06T19:45:00Z,19,sassuolo,fiorentina,1,0,1,0,1,sassuolo,fiorentina,rosario abisso
2024-01-07T11:30:00Z,19,empoli,milan,0,3,0,2,3,milan,empoli,federico la penna
2024-01-07T14:00:00Z,19,torino,napoli,3,0,1,0,3,torino,napoli,maurizio mariani
2024-01-07T14:00:00Z,19,udinese,lazio,1,2,0,1,1,lazio,udinese,juan luca sacchi
2024-01-07T17:00:00Z,19,salernitana,juventus,1,2,1,0,1,juventus,salernitana,marco guida
2024-01-07T19:45:00Z,19,roma,atalanta,1,1,1,1,0,draw,draw,gianluca aureliano
2024-01-13T14:00:00Z,20,genoa,torino,0,0,0,0,0,draw,draw,antonio giua
2024-01-13T14:00:00Z,20,napoli,salernitana,2,1,1,1,1,napoli,salernitana,livio marinelli
2024-01-13T17:00:00Z,20,verona,empoli,2,1,1,0,1,verona,empoli,daniele doveri
2024-01-13T19:45:00Z,20,monza,inter,1,5,0,2,4,inter,monza,antonio rapuano
2024-01-14T11:30:00Z,20,lazio,lecce,1,0,0,0,1,lazio,lecce,maria caputi
2024-01-14T14:00:00Z,20,cagliari,bologna,2,1,1,1,1,cagliari,bologna,gianluca manganiello
2024-01-14T17:00:00Z,20,fiorentina,udinese,2,2,0,1,0,draw,draw,luca pairetto
2024-01-14T19:45:00Z,20,milan,roma,3,1,1,0,2,milan,roma,marco guida
2024-01-15T19:45:00Z,20,atalanta,frosinone,5,0,3,0,5,atalanta,frosinone,alessandro prontera
2024-01-16T19:45:00Z,20,juventus,sassuolo,3,0,2,0,3,juventus,sassuolo,marco piccinini
2024-01-20T17:00:00Z,21,roma,verona,2,1,2,0,1,roma,verona,juan luca sacchi
2024-01-20T19:45:00Z,21,udinese,milan,2,3,1,1,1,milan,udinese,fabio maresca
2024-01-21T11:30:00Z,21,frosinone,cagliari,3,1,0,1,2,frosinone,cagliari,federico dionisi
2024-01-21T14:00:00Z,21,empoli,monza,3,0,2,0,3,empoli,monza,antonio giua
2024-01-21T17:00:00Z,21,salernitana,genoa,1,2,1,1,1,genoa,salernitana,daniele orsato
2024-01-21T19:45:00Z,21,lecce,juventus,0,3,0,0,3,juventus,lecce,daniele doveri
2024-01-26T19:45:00Z,22,cagliari,torino,1,2,0,2,1,torino,cagliari,andrea colombo
2024-01-27T14:00:00Z,22,atalanta,udinese,2,0,2,0,2,atalanta,udinese,marco piccinini
2024-01-27T17:00:00Z,22,juventus,empoli,1,1,0,0,0,draw,draw,livio marinelli
2024-01-27T19:45:00Z,22,milan,bologna,2,2,1,1,0,draw,draw,davide massa
2024-01-28T11:30:00Z,22,genoa,lecce,2,1,0,1,1,genoa,lecce,luca pairetto
2024-01-28T14:00:00Z,22,verona,frosinone,1,1,1,0,0,draw,draw,federico la penna
2024-01-28T14:00:00Z,22,monza,sassuolo,1,0,1,0,1,monza,sassuolo,gianluca manganiello
2024-01-28T17:00:00Z,22,lazio,napoli,0,0,0,0,0,draw,draw,daniele orsato
2024-01-28T19:45:00Z,22,fiorentina,inter,0,1,0,1,1,inter,fiorentina,gianluca aureliano
2024-01-29T19:45:00Z,22,salernitana,roma,1,2,0,0,1,roma,salernitana,marco di bello
2024-02-02T19:45:00Z,23,lecce,fiorentina,3,2,1,0,1,lecce,fiorentina,antonio giua
2024-02-03T14:00:00Z,23,empoli,genoa,0,0,0,0,0,draw,draw,ermanno feliciani
2024-02-03T14:00:00Z,23,udinese,monza,0,0,0,0,0,draw,draw,alessandro prontera
2024-02-03T17:00:00Z,23,frosinone,milan,2,3,1,1,1,milan,frosinone,luca pairetto
2024-02-03T19:45:00Z,23,bologna,sassuolo,4,2,1,2,2,bologna,sassuolo,juan luca sacchi
2024-02-04T11:30:00Z,23,torino,salernitana,0,0,0,0,0,draw,draw,daniele chiffi
2024-02-04T14:00:00Z,23,napoli,verona,2,1,0,0,1,napoli,verona,marco piccinini
2024-02-04T17:00:00Z,23,atalanta,lazio,3,1,2,0,2,atalanta,lazio,marco guida
2024-02-04T19:45:00Z,23,inter,juventus,1,0,1,0,1,inter,juventus,fabio maresca
2024-02-05T19:45:00Z,23,roma,cagliari,4,0,2,0,4,roma,cagliari,matteo marcenaro
2024-02-09T19:45:00Z,24,salernitana,empoli,1,3,0,1,2,empoli,salernitana,maurizio mariani
2024-02-10T14:00:00Z,24,cagliari,lazio,1,3,0,1,2,lazio,cagliari,marco di bello
2024-02-10T17:00:00Z,24,roma,inter,2,4,2,1,2,inter,roma,marco guida
2024-02-10T19:45:00Z,24,sassuolo,torino,1,1,1,1,0,draw,draw,federico la penna
2024-02-11T11:30:00Z,24,fiorentina,frosinone,5,1,3,0,4,fiorentina,frosinone,ermanno feliciani
2024-02-11T14:00:00Z,24,bologna,lecce,4,0,2,0,4,bologna,lecce,gianluca manganiello
2024-02-11T14:00:00Z,24,monza,verona,0,0,0,0,0,draw,draw,davide massa
2024-02-11T17:00:00Z,24,genoa,atalanta,1,4,0,1,3,atalanta,genoa,andrea colombo
2024-02-11T19:45:00Z,24,milan,napoli,1,0,1,0,1,milan,napoli,daniele doveri
2024-02-12T19:45:00Z,24,juventus,udinese,0,1,0,1,1,udinese,juventus,rosario abisso
2024-02-14T18:00:00Z,21,bologna,fiorentina,2,0,1,0,2,bologna,fiorentina,daniele chiffi
2024-02-16T18:00:00Z,25,torino,lecce,2,0,0,0,2,torino,lecce,giovanni ayroldi
2024-02-16T20:00:00Z,25,inter,salernitana,4,0,3,0,4,inter,salernitana,marco piccinini
2024-02-17T14:00:00Z,25,napoli,genoa,1,1,0,0,0,draw,draw,juan luca sacchi
2024-02-17T17:00:00Z,25,verona,juventus,2,2,1,1,0,draw,draw,marco di bello
2024-02-17T19:45:00Z,25,atalanta,sassuolo,3,0,1,0,3,atalanta,sassuolo,alessandro prontera
2024-02-18T11:30:00Z,25,lazio,bologna,1,2,1,1,1,bologna,lazio,fabio maresca
2024-02-18T14:00:00Z,25,empoli,fiorentina,1,1,0,1,0,draw,draw,luca pairetto
2024-02-18T14:00:00Z,25,udinese,cagliari,1,1,1,1,0,draw,draw,maurizio mariani
2024-02-18T17:00:00Z,25,frosinone,roma,0,3,0,1,3,roma,frosinone,antonio giua
2024-02-18T19:45:00Z,25,monza,milan,4,2,2,0,2,monza,milan,andrea colombo
2024-02-22T19:45:00Z,21,torino,lazio,0,2,0,0,2,lazio,torino,federico la penna
2024-02-23T19:45:00Z,26,bologna,verona,2,0,1,0,2,bologna,verona,rosario abisso
2024-02-24T14:00:00Z,26,sassuolo,empoli,2,3,0,1,1,empoli,sassuolo,gianluca aureliano
2024-02-24T17:00:00Z,26,salernitana,monza,0,2,0,0,2,monza,salernitana,michael fabbri
2024-02-24T19:45:00Z,26,genoa,udinese,2,0,2,0,2,genoa,udinese,francesco fourneau
2024-02-25T11:30:00Z,26,juventus,frosinone,3,2,2,2,1,juventus,frosinone,antonio rapuano
2024-02-25T14:00:00Z,26,cagliari,napoli,1,1,0,0,0,draw,draw,luca pairetto
2024-02-25T17:00:00Z,26,lecce,inter,0,4,0,1,4,inter,lecce,daniele doveri
2024-02-25T19:45:00Z,26,milan,atalanta,1,1,1,1,0,draw,draw,daniele orsato
2024-02-26T17:30:00Z,26,roma,torino,3,2,1,1,1,roma,torino,juan luca sacchi
2024-02-26T19:45:00Z,26,fiorentina,lazio,2,1,0,1,1,fiorentina,lazio,marco guida
2024-02-28T17:00:00Z,21,sassuolo,napoli,1,6,1,3,5,napoli,sassuolo,daniele chiffi
2024-02-28T19:45:00Z,21,inter,atalanta,4,0,2,0,4,inter,atalanta,andrea colombo
2024-03-01T19:45:00Z,27,lazio,milan,0,1,0,0,1,milan,lazio,marco di bello
2024-03-02T14:00:00Z,27,udinese,salernitana,1,1,1,1,0,draw,draw,gianluca manganiello
2024-03-02T17:00:00Z,27,monza,roma,1,4,0,2,3,roma,monza,marco piccinini
2024-03-02T19:45:00Z,27,torino,fiorentina,0,0,0,0,0,draw,draw,matteo marchetti
2024-03-03T11:30:00Z,27,verona,sassuolo,1,0,0,0,1,verona,sassuolo,fabio maresca
2024-03-03T14:00:00Z,27,empoli,cagliari,0,1,0,0,1,cagliari,empoli,antonio rapuano
2024-03-03T14:00:00Z,27,frosinone,lecce,1,1,1,0,0,draw,draw,marco guida
2024-03-03T17:00:00Z,27,atalanta,bologna,1,2,1,0,1,bologna,atalanta,federico la penna
2024-03-03T19:45:00Z,27,napoli,juventus,2,1,1,0,1,napoli,juventus,maurizio mariani
2024-03-04T19:45:00Z,27,inter,genoa,2,1,2,0,1,inter,genoa,giovanni ayroldi
2024-03-08T19:45:00Z,28,napoli,torino,1,1,0,0,0,draw,draw,daniele orsato
2024-03-09T14:00:00Z,28,cagliari,salernitana,4,2,2,0,2,cagliari,salernitana,francesco fourneau
2024-03-09T14:00:00Z,28,sassuolo,frosinone,1,0,0,0,1,sassuolo,frosinone,federico la penna
2024-03-09T17:00:00Z,28,bologna,inter,0,1,0,1,1,inter,bologna,luca pairetto
