date,matchday,home_team,away_team,home_score_full_time,away_score_full_time,home_score_half_time,away_score_half_time,goal_diff,winner,defeat,ref
2024-03-31T17:30:00Z,27,bochum,darmstadt,2,2,1,0,0,draw,draw,sven jablonski
2024-04-05T18:30:00Z,28,frankfurt,bremen,1,1,0,0,0,draw,draw,robert hartmann
2024-04-06T13:30:00Z,28,heidenheim,bayern,3,2,0,2,1,heidenheim,bayern,robert schröder
2024-04-06T13:30:00Z,28,freiburg,rb leipzig,1,4,0,3,3,rb leipzig,freiburg,daniel siebert
2024-04-06T13:30:00Z,28,union berlin,leverkusen,0,1,0,1,1,leverkusen,union berlin,benjamin brand
2024-04-06T13:30:00Z,28,1. fc köln,bochum,2,1,0,0,1,1. fc köln,bochum,tobias welz
2024-04-06T13:30:00Z,28,mainz,darmstadt,4,0,1,0,4,mainz,darmstadt,daniel schlager
2024-04-06T16:30:00Z,28,dortmund,stuttgart,0,1,0,0,1,stuttgart,dortmund,matthias jöllenbeck
2024-04-07T13:30:00Z,28,hoffenheim,augsburg,3,1,2,0,2,hoffenheim,augsburg,florian exner
2024-04-07T15:30:00Z,28,wolfsburg,m'gladbach,1,3,1,0,2,m'gladbach,wolfsburg,bastian dankert
2024-04-12T18:30:00Z,29,augsburg,union berlin,2,0,0,0,2,augsburg,union berlin,tobias stieler
2024-04-13T13:30:00Z,29,m'gladbach,dortmund,1,2,1,2,1,dortmund,m'gladbach,florian badstübner
2024-04-13T13:30:00Z,29,rb leipzig,wolfsburg,3,0,1,0,3,rb leipzig,wolfsburg,christian dingert
2024-04-13T13:30:00Z,29,bayern,1. fc köln,2,0,0,0,2,bayern,1. fc köln,frank willenborg
2024-04-13T13:30:00Z,29,mainz,hoffenheim,4,1,0,1,3,mainz,hoffenheim,felix zwayer
2024-04-13T13:30:00Z,29,bochum,heidenheim,1,1,0,0,0,draw,draw,patrick ittrich
2024-04-13T16:30:00Z,29,stuttgart,frankfurt,3,0,3,0,3,stuttgart,frankfurt,deniz aytekin
2024-04-14T13:30:00Z,29,darmstadt,freiburg,0,1,0,1,1,freiburg,darmstadt,sascha stegemann
2024-04-14T15:30:00Z,29,leverkusen,bremen,5,0,1,0,5,leverkusen,bremen,harm osmers
2024-04-19T18:30:00Z,30,frankfurt,augsburg,3,1,0,1,2,frankfurt,augsburg,martin petersen
2024-04-20T13:30:00Z,30,heidenheim,rb leipzig,1,2,0,1,1,rb leipzig,heidenheim,tobias welz
2024-04-20T13:30:00Z,30,hoffenheim,m'gladbach,4,3,1,1,1,hoffenheim,m'gladbach,sören storks
2024-04-20T13:30:00Z,30,wolfsburg,bochum,1,0,1,0,1,wolfsburg,bochum,tobias reichel
